Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Seller_Type,Amenities,Description,Link,Amenities_Count,Is_Installments
EG-6880124,Villa,cairo el sheikh zayed city lshykh zyd ljdyd park valley diwan compound efid,7800000.0,30000.0,260.0,4 rooms,2 bathroom,,2028.0,1,Garden,Broker,Garden,تاون هاوس For sale in Park Valley DiwanOwn Your Villa with Installments Over 14 Years in a Prime Location in the Heart of New Zayed,https://aqarmap.com.eg/en/listing/6880124-for-sale-cairo-el-sheikh-zayed-city-lshykh-zyd-ljdyd-park-valley-diwan-compound-efid/,1,1
EG-6901925,Apartment,cairo heliopolis shareaa el nozha,5100000.0,30909.0,165.0,3 rooms,2 bathroom,6.0,2000.0,1,Main Street,Developer,,Area: 165 m²Floor: 6th,https://aqarmap.com.eg/en/listing/6901925-for-sale-cairo-heliopolis-shareaa-el-nozha/,0,0
EG-6714619,Apartment,cairo 6th of october el ahyaa neighborhood 4th school st,4000000.0,15385.0,260.0,3 rooms,3 bathroom,1.0,2026.0,1,Garden,Developer,Garden,Apartment For sale in School St,https://aqarmap.com.eg/en/listing/6714619-for-sale-cairo-6th-of-october-el-ahyaa-neighborhood-4th-school-st/,1,0
EG-6901210,Chalet,ain elsokhna resorts steigenberger resort ayalora alarinova,7968079.0,106241.0,75.0,1 rooms,1 bathroom,1.0,2029.0,1,Sea View,Developer,"Elevator, Water Meter, Security, Swimming Pool, Balcony","Steigenberger Resort Ayalora launches Phase 1 of their branded, serviced, finished and furnished residences in Ain Sokhna at kilo 33.5 Suez road.Own your 5 stars residence in front of the pristine blue waters and white sandy beaches of the red sea, 45 minutes from New Cairo and enjoy a turn-key concept, hassle free property, fully finished and fully furnished with all appliances as per Steigenberger standards.",https://aqarmap.com.eg/en/listing/6901210-for-sale-ain-elsokhna-resorts-steigenberger-resort-ayalora-alarinova/,5,1
EG-6745357,Apartment,cairo 6th of october compounds etlala compound,2300000.0,23000.0,100.0,2 rooms,1 bathroom,2.0,2026.0,1,Garden,Developer,Garden,Your apartment in New October City with the longest installment period and an unbeatable price:,https://aqarmap.com.eg/en/listing/6745357-for-sale-cairo-6th-of-october-compounds-etlala-compound/,1,1
EG-6899575,Roof,cairo new cairo el narges el narges 2 el sheikh abd el aziz gawish st,6000000.0,27273.0,220.0,3 rooms,3 bathroom,3.0,2017.0,1,Side Street,Broker,,Roof For sale in El Sheikh Abd El Aziz Gawish St. with size 220 M² View Side Street,https://aqarmap.com.eg/en/listing/6899575-for-sale-cairo-new-cairo-el-narges-el-narges-2-el-sheikh-abd-el-aziz-gawish-st/,0,0
EG-6748080,Commercial,cairo 6th of october hadaeq october compounds alico city,1394000.0,82000.0,17.0,,,1.0,2029.0,1,Plaza,Broker,,Shop For sale in Alico City Compound,https://aqarmap.com.eg/en/listing/6748080-for-sale-cairo-6th-of-october-hadaeq-october-compounds-alico-city/,0,1
EG-6729261,Apartment,cairo 6th of october garb someed neighborhood 14th el nabatat st,9000000.0,30000.0,300.0,3 rooms,2 bathroom,3.0,2026.0,1,Other,Developer,,Apartment For sale in El Nabatat St.,https://aqarmap.com.eg/en/listing/6729261-for-sale-cairo-6th-of-october-garb-someed-neighborhood-14th-el-nabatat-st/,0,0
EG-6739827,Villa,cairo el sheikh zayed city compounds el yasmeen compound,26000000.0,104000.0,250.0,7 rooms,6 bathroom,,2026.0,1,Garden,Developer,Garden,فيلا For sale in El Yasmeen Compound - El Rayan Group,https://aqarmap.com.eg/en/listing/6739827-for-sale-cairo-el-sheikh-zayed-city-compounds-el-yasmeen-compound/,1,0
EG-6739956,Villa,cairo 6th of october compounds grand heights,30000000.0,86957.0,345.0,5 rooms,5 bathroom,,2026.0,1,Other,Developer,,فيلا For sale in Grand Heights Compound - Kuwadico,https://aqarmap.com.eg/en/listing/6739956-for-sale-cairo-6th-of-october-compounds-grand-heights/,0,0
